(1, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(84, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(85, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(86, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(87, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(88, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(89, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(90, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(91, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(92, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(93, 'Fri, 20 Feb 43243 20:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(94, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(95, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(96, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(97, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(98, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(99, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(100, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(101, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(102, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(103, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(104, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(105, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(106, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(107, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(108, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(109, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(110, 'Fri, 20 Feb 43243 20:40:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(111, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(112, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(113, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(114, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(115, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(116, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(117, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(118, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(119, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(120, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(121, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(122, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(123, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(124, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(125, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(126, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(127, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(128, 'Fri, 13 Feb 43243 22:00:00 +0000', 'Thu, 26 Apr 43285 10:00:00 +0000')
(129, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(130, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(131, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(132, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(133, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 20 Dec 43285 14:40:00 +0000')
(134, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(135, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(136, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Sun, 05 Aug 43285 02:40:00 +0000')
(137, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(138, 'Fri, 20 Feb 43243 20:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(139, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(140, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(141, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(142, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(143, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(144, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(145, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(146, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(147, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Wed, 12 Jul 43284 22:00:00 +0000')
(148, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(149, 'Fri, 20 Feb 43243 20:40:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(150, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(151, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(152, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(153, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(154, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Tue, 31 Jul 43285 22:40:00 +0000')
(155, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(156, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(157, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(158, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(159, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(160, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(161, 'Wed, 22 Oct 43242 08:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(162, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(163, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(164, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(165, 'Tue, 05 Apr 43244 14:00:00 +0000', 'Sat, 09 May 43282 18:40:00 +0000')
(166, 'Sat, 09 Apr 43177 12:40:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(167, 'Sat, 09 Apr 43177 12:40:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(168, 'Sat, 26 Feb 43177 04:00:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(169, 'Sun, 01 Jan 43178 04:40:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(170, 'Sat, 09 Apr 43177 12:40:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(171, 'Sat, 04 Feb 43178 22:00:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(172, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(173, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(174, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(175, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(176, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(177, 'Sat, 26 Feb 43177 04:00:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(178, 'Sat, 26 Feb 43177 04:00:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(179, 'Sat, 26 Feb 43177 04:00:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(180, 'Sat, 09 Apr 43177 12:40:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(181, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(182, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(183, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(184, 'Sun, 01 Jan 43178 04:40:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(185, 'Sun, 01 Jan 43178 04:40:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(186, 'Sun, 01 Jan 43178 04:40:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(187, 'Sat, 04 Feb 43178 22:00:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(188, 'Sat, 04 Feb 43178 22:00:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(189, 'Sat, 04 Feb 43178 22:00:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(190, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(191, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(192, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(193, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(194, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(195, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(196, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(197, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(198, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(199, 'Sat, 26 Feb 43177 04:00:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(200, 'Sun, 01 Jan 43178 04:40:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(201, 'Sat, 04 Feb 43178 22:00:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(202, 'Sat, 09 Apr 43177 12:40:00 +0000', 'Sat, 02 Aug 43186 14:40:00 +0000')
(203, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(204, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Thu, 21 Sep 43189 10:40:00 +0000')
(205, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(206, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Wed, 04 Feb 43187 00:40:00 +0000')
(207, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(208, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(209, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(210, 'Fri, 25 Aug 43178 07:20:00 +0000', 'Sun, 23 Oct 43188 02:40:00 +0000')
(211, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(212, 'Sun, 12 Aug 43308 01:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(213, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(214, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(215, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(216, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(217, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(218, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(219, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(220, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(221, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Thu, 07 Nov 43348 23:20:00 +0000')
(222, 'Tue, 15 Jan 43309 07:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(223, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(224, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(225, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(226, 'Sat, 29 Sep 43308 16:00:00 +0000', 'Sun, 30 Nov 43349 11:20:00 +0000')
(227, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(228, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(229, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(230, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(231, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(232, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(233, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(234, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Tue, 11 Nov 43349 00:40:00 +0000')
(235, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(236, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(237, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(238, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(239, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(240, 'Sun, 08 Jul 43308 08:00:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(241, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(242, 'Tue, 12 Mar 43309 13:20:00 +0000', 'Wed, 25 Dec 43348 21:20:00 +0000')
(243, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Tue, 19 Aug 43349 00:00:00 +0000')
(244, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(245, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(246, 'Sat, 24 Nov 43308 05:20:00 +0000', 'Mon, 16 Sep 43348 21:20:00 +0000')
(247, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Sat, 21 Feb 43350 19:20:00 +0000')
(248, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Sat, 21 Feb 43350 19:20:00 +0000')
(249, 'Wed, 29 Aug 43308 10:00:00 +0000', 'Thu, 12 Mar 43350 13:20:00 +0000')
